age,gender,procrastination_level,motivation_level,fatigue_level,sleep_hours,task_complexity,current_habits_count,morning_person,goal_clarity,focus_span,time_availability,recommended_technique
52,Other,4,5,4,7.141518911,4,0,0,5,53,3.675400618,Pomodoro
31,Male,5,3,3,5.309559236,5,2,1,2,77,0.533783607,90/90/1 Rule
34,Male,1,3,2,9.936590595,5,9,0,3,56,2.849570084,Habit Stacking
53,Male,1,3,1,7.446620535,5,4,0,1,6,4.450694658,Pomodoro
57,Male,4,4,2,4.827311616,1,9,0,2,100,2.931881554,2 Minute Rule
21,Other,4,1,5,8.132575245,3,4,0,2,54,1.332761923,Pomodoro
19,Other,4,1,4,9.386461399,1,9,1,4,90,3.820737176,Pomodoro
23,Female,3,2,3,8.471076972,3,5,0,5,47,2.399396127,Habit Stacking
59,Female,5,1,5,4.458639166,5,9,1,1,81,7.319242823,Pomodoro
21,Male,4,3,3,9.375305087,5,7,1,1,12,1.263158964,Pomodoro
46,Other,2,3,1,8.763576315,4,4,0,1,63,0.868644715,90/90/1 Rule
35,Other,2,3,1,4.949823401,3,0,1,2,69,0.539856269,90/90/1 Rule
43,Other,1,2,1,4.310715332,5,4,0,4,85,2.960522634,90/90/1 Rule
61,Female,5,3,3,7.343863452,2,2,0,3,16,5.452901287,Pomodoro
51,Female,4,1,5,4.936214868,4,3,0,2,8,5.978103147,Pomodoro
27,Other,2,4,1,9.007545716,1,7,1,3,81,3.899462625,90/90/1 Rule
53,Other,5,4,5,6.15000794,4,6,1,4,99,5.632464878,Pomodoro
31,Other,1,5,3,9.477354668,2,4,1,5,45,3.199355272,
48,Female,3,1,5,7.394129033,3,1,0,1,11,5.50854665,Pomodoro
32,Other,5,3,3,5.096034305,1,5,0,3,91,0.80446989,2 Minute Rule
25,Other,5,4,3,4.837593204,1,5,0,2,92,3.430647384,2 Minute Rule
31,Male,3,1,4,7.458834625,3,9,1,3,73,6.431372582,Pomodoro
40,Male,5,4,3,8.571301671,4,9,0,5,73,6.522545228,90/90/1 Rule
57,Female,1,3,3,8.689033886,5,5,0,1,85,5.871115842,90/90/1 Rule
38,Other,1,4,2,5.654544427,4,8,1,3,34,2.031789654,
33,Other,3,5,1,5.225480553,2,7,1,5,77,2.354038392,90/90/1 Rule
62,Male,4,5,4,4.100537827,5,7,1,2,10,7.970665454,Pomodoro
35,Female,2,4,4,8.075194907,4,0,0,4,93,1.275335054,Pomodoro
64,Male,4,1,4,4.459409551,3,4,0,2,23,1.854970242,Pomodoro
41,Male,5,1,2,6.524567211,2,6,0,1,84,1.475196917,2 Minute Rule
43,Male,2,1,3,7.610092984,2,5,1,2,89,2.957412228,90/90/1 Rule
42,Male,3,4,1,9.62265367,2,4,1,2,70,2.076318764,90/90/1 Rule
62,Other,3,1,5,5.870812822,5,7,1,2,14,4.232659697,Pomodoro
58,Other,2,3,3,5.498632975,1,2,1,2,20,4.070155302,Pomodoro
46,Male,1,5,2,7.924960926,5,5,0,1,41,7.261292146,90/90/1 Rule
32,Female,2,3,3,7.715434192,4,4,0,5,83,0.760549606,90/90/1 Rule
62,Female,5,1,3,5.9926587,1,7,0,3,81,2.899096825,2 Minute Rule
18,Female,1,3,2,9.568611013,4,3,0,4,81,4.97493419,90/90/1 Rule
42,Female,3,1,4,9.069173965,1,7,0,3,36,5.036013214,Pomodoro
24,Male,2,4,4,5.343895275,5,9,0,3,113,4.100946718,Pomodoro
26,Other,4,3,1,5.434855273,2,1,0,4,51,6.617491556,2 Minute Rule
41,Female,4,4,1,7.073802081,3,8,0,1,114,0.970416286,2 Minute Rule
18,Male,5,4,4,8.64143261,2,8,1,4,76,6.616158242,Pomodoro
61,Female,4,2,5,4.264242276,5,9,1,1,47,4.210656803,Pomodoro
25,Female,2,1,3,8.160010922,1,9,0,3,86,1.503205213,90/90/1 Rule
41,Male,2,5,5,7.889415384,2,5,1,1,40,7.142764352,Pomodoro
28,Other,4,1,3,5.388880575,5,3,0,5,30,5.369215847,Habit Stacking
34,Other,2,5,4,8.088118079,4,3,0,4,14,1.726592651,Pomodoro
25,Male,5,1,1,9.641099148,3,5,1,5,35,0.752372925,2 Minute Rule
52,Other,1,4,1,4.28071507,2,4,0,3,101,1.558322362,90/90/1 Rule
52,Male,5,3,5,5.917912332,1,5,0,4,33,5.065984701,Pomodoro
50,Male,5,3,1,6.6290603,4,6,0,3,9,1.844721764,Pomodoro
22,Male,2,2,4,9.395562154,5,6,0,5,81,2.193223062,Pomodoro
59,Other,1,5,5,9.77356868,3,8,0,3,5,0.688547943,Pomodoro
56,Male,2,5,3,6.664691479,1,7,0,4,91,5.921980042,90/90/1 Rule
58,Female,3,5,1,8.500170473,5,5,0,4,108,6.577732998,90/90/1 Rule
45,Other,2,4,2,7.189966143,5,5,1,3,7,6.476361326,Pomodoro
24,Other,2,5,1,7.226697608,2,4,1,4,71,1.456761135,90/90/1 Rule
26,Other,2,3,3,5.66859709,2,0,0,4,75,7.274758455,90/90/1 Rule
25,Other,1,4,5,5.301737475,1,8,1,3,104,5.542091221,Pomodoro
29,Female,2,1,3,5.728032076,5,8,0,5,39,7.231464668,Habit Stacking
51,Other,1,5,2,7.337968044,2,8,0,4,19,3.853703784,Pomodoro
50,Other,4,5,4,4.174931116,3,7,0,4,108,3.777161458,Pomodoro
40,Male,3,1,1,9.443493666,3,9,0,4,71,6.38402389,90/90/1 Rule
41,Other,1,5,5,4.937702257,5,2,1,4,97,1.199733916,Pomodoro
54,Female,4,1,4,5.320532061,2,0,1,3,34,4.406555275,Pomodoro
52,Female,1,4,3,7.109657059,1,7,1,5,107,6.772881767,90/90/1 Rule
61,Female,1,3,5,8.260688598,1,6,1,5,86,6.726444223,Pomodoro
57,Female,3,1,4,4.574374328,1,4,0,1,79,7.670996423,Pomodoro
39,Other,5,2,5,5.906168185,3,9,1,4,47,5.737044451,Pomodoro
44,Other,5,1,2,9.812047633,2,6,0,4,117,2.058279721,2 Minute Rule
52,Female,1,5,2,5.574057801,2,9,0,1,64,0.652102362,90/90/1 Rule
18,Female,2,4,1,5.87830087,3,3,1,5,106,4.09561849,90/90/1 Rule
52,Other,4,4,1,9.018990944,1,8,0,2,44,4.352778992,2 Minute Rule
54,Female,2,1,2,4.30128659,1,9,1,2,69,2.301969384,90/90/1 Rule
64,Male,2,3,5,6.787679013,5,1,1,5,33,1.435230853,Pomodoro
31,Female,1,2,2,6.277700587,4,8,1,4,78,4.896561246,90/90/1 Rule
20,Female,1,4,1,5.899520559,2,8,1,2,96,6.231917555,90/90/1 Rule
18,Male,1,5,2,5.714197564,2,4,1,3,99,7.948655777,90/90/1 Rule
22,Male,1,5,2,4.548244629,2,0,0,3,23,6.187269629,Pomodoro
43,Other,5,3,5,5.888954976,4,6,1,1,7,6.452243107,Pomodoro
31,Other,1,4,4,4.258314416,5,9,1,5,40,5.123456587,Pomodoro
56,Male,5,1,1,8.685783182,4,9,0,5,47,7.894419942,Habit Stacking
44,Male,5,5,5,6.389366764,1,3,1,2,19,5.299672888,Pomodoro
26,Other,1,3,2,6.663422994,1,8,1,4,101,6.951899648,90/90/1 Rule
32,Female,3,4,2,9.361567519,2,5,0,5,45,7.593384847,
32,Male,4,4,4,7.948329903,3,2,0,2,111,7.473938754,Pomodoro
43,Other,2,4,1,4.04835462,2,5,1,2,119,3.360615078,90/90/1 Rule
59,Female,5,4,1,9.659048938,3,9,0,5,113,3.089965437,2 Minute Rule
30,Male,4,4,3,5.422866796,4,5,1,2,94,1.789052769,90/90/1 Rule
49,Female,3,5,1,4.645685109,1,4,0,1,84,0.94417479,90/90/1 Rule
56,Other,2,3,4,8.60876907,3,1,1,1,40,1.290477011,Pomodoro
49,Male,2,4,3,7.002863895,4,9,1,5,101,1.884884344,90/90/1 Rule
21,Female,5,2,3,6.602623396,1,9,1,4,88,3.058207374,2 Minute Rule
47,Male,1,2,2,5.497018478,3,1,0,1,81,4.576547349,90/90/1 Rule
54,Female,3,3,2,7.284828939,2,6,1,1,37,5.837615445,90/90/1 Rule
40,Other,5,1,1,5.646307631,2,1,0,5,9,2.081955021,Pomodoro
56,Other,3,1,3,9.409498032,2,5,1,3,105,5.543918032,90/90/1 Rule
62,Male,1,1,2,5.291226878,4,4,1,2,82,5.781943059,90/90/1 Rule
32,Female,1,2,4,9.306130903,2,3,1,1,95,4.689667526,Pomodoro
60,Male,5,1,2,7.356432554,5,6,1,3,91,7.277134023,90/90/1 Rule
46,Male,1,5,2,8.970928803,1,7,1,4,18,1.332461104,Pomodoro
53,Female,4,4,3,8.277075975,4,3,0,3,108,1.828410932,90/90/1 Rule
30,Female,2,2,3,8.180170669,2,0,0,5,72,3.714986183,90/90/1 Rule
49,Female,5,3,5,5.946074846,1,0,0,4,107,1.450345514,Pomodoro
24,Other,3,3,4,5.403381589,3,0,1,4,120,4.747221078,Pomodoro
39,Male,4,4,3,5.265317366,2,0,1,3,87,3.4880035,2 Minute Rule
45,Male,5,2,1,9.143149942,1,4,0,5,51,2.634468459,2 Minute Rule
19,Other,1,1,4,8.922560922,5,3,1,1,58,1.774923598,Pomodoro
59,Female,1,1,4,6.643441168,3,8,1,3,8,3.015036788,Pomodoro
62,Other,1,5,3,4.794427681,5,2,1,1,98,5.059695131,90/90/1 Rule
23,Other,1,5,4,6.293513512,1,6,0,3,87,4.818389082,Pomodoro
45,Other,3,1,3,7.716060725,5,7,0,1,99,1.727180002,90/90/1 Rule
45,Male,4,3,2,6.726418927,1,5,0,3,99,1.436898581,2 Minute Rule
61,Other,2,3,5,8.681135611,1,9,0,4,13,0.70007572,Pomodoro
61,Male,3,5,2,9.985736934,5,0,0,2,57,0.593191953,90/90/1 Rule
37,Male,3,4,3,5.146792531,1,7,1,4,81,7.098578268,90/90/1 Rule
47,Male,2,1,3,6.757904918,2,9,1,1,82,0.83816642,90/90/1 Rule
28,Female,2,5,2,6.585903412,1,2,1,5,64,5.984158324,90/90/1 Rule
45,Male,1,5,1,5.826955196,4,7,1,4,50,7.039888222,
42,Male,3,1,1,5.1885731,1,3,0,2,58,1.235433864,90/90/1 Rule
56,Female,5,1,1,4.394152699,4,7,0,1,78,3.772260679,90/90/1 Rule
50,Male,2,3,3,9.322715903,1,0,1,4,116,7.717272374,90/90/1 Rule
18,Other,2,4,4,6.519092186,1,2,0,3,99,6.756039954,Pomodoro
44,Other,4,4,3,6.981373111,5,5,1,5,41,4.172780239,
30,Male,5,1,4,9.501652289,2,8,1,1,27,6.219283346,Pomodoro
58,Female,5,2,2,8.657742865,2,1,1,4,31,6.750332183,2 Minute Rule
20,Other,2,5,5,4.783007585,3,0,1,1,74,3.110202224,Pomodoro
56,Female,1,5,4,7.392519806,5,9,0,3,94,7.191146877,Pomodoro
23,Female,4,1,1,6.653513659,5,2,1,2,70,4.028549898,90/90/1 Rule
25,Other,5,2,3,8.783266435,2,3,0,4,113,4.458555227,2 Minute Rule
44,Female,2,3,2,8.345395286,5,4,1,1,65,7.997807284,90/90/1 Rule
26,Other,5,1,1,8.142434331,2,2,1,1,81,6.824772246,2 Minute Rule
54,Female,4,1,2,6.043269013,5,9,1,1,55,3.213275043,90/90/1 Rule
50,Other,4,5,5,8.829782382,1,1,1,2,54,0.577591974,Pomodoro
59,Male,3,1,3,4.314347774,2,1,0,1,23,5.196305553,Pomodoro
61,Other,2,1,3,4.957749409,2,6,1,5,5,5.779350696,Pomodoro
41,Other,4,1,5,6.013739638,4,8,0,5,44,5.381020176,Pomodoro
32,Other,3,5,3,4.460844646,5,8,1,1,36,7.758967634,90/90/1 Rule
49,Other,3,3,4,5.409965665,5,1,1,5,26,6.972282705,Pomodoro
49,Female,5,3,2,8.980905898,2,6,1,4,116,3.866237699,2 Minute Rule
41,Male,5,1,1,9.689509227,1,6,0,5,97,0.971431156,2 Minute Rule
58,Other,3,5,5,5.827614135,1,6,1,1,70,4.070440771,Pomodoro
29,Female,5,3,4,5.587094824,1,2,1,3,44,5.66933015,Pomodoro
56,Male,4,3,1,5.679355913,5,6,1,4,42,5.057823562,Habit Stacking
19,Male,1,3,1,5.666314524,4,0,1,2,52,4.536028008,90/90/1 Rule
20,Male,4,5,5,4.215581093,2,9,1,1,59,4.016142185,Pomodoro
54,Male,3,5,4,9.561498078,3,0,0,2,79,2.703214048,Pomodoro
34,Other,3,1,1,5.282188849,4,4,0,3,85,2.580361713,90/90/1 Rule
19,Other,4,4,1,6.520024444,3,1,1,2,59,4.251736092,2 Minute Rule
19,Female,5,3,4,4.058121296,4,8,1,1,55,1.704523598,Pomodoro
45,Female,5,4,3,9.147730545,1,6,0,1,111,3.055140677,2 Minute Rule
40,Female,3,5,1,8.386944067,5,3,1,3,64,2.92984456,90/90/1 Rule
54,Male,2,5,2,9.680536211,3,3,0,1,12,4.903496012,Pomodoro
49,Male,5,5,4,8.689692875,4,1,1,3,90,1.000117253,Pomodoro
50,Other,4,4,1,5.882239072,5,4,1,3,72,6.722515102,90/90/1 Rule
18,Male,5,5,5,5.487240152,3,3,0,1,79,4.717837853,Pomodoro
36,Male,4,1,2,8.186297845,2,0,1,5,76,5.531200106,2 Minute Rule
19,Male,3,5,1,6.18467665,4,7,0,3,13,5.773204278,Pomodoro
61,Female,5,2,2,7.397290095,2,2,0,1,94,2.686131026,2 Minute Rule
43,Female,4,4,2,4.037544826,1,5,0,5,6,4.027786755,Pomodoro
49,Other,3,2,3,4.37131421,2,3,1,3,84,7.671844669,90/90/1 Rule
23,Male,2,5,2,7.212207647,2,8,0,5,99,6.250289285,90/90/1 Rule
49,Male,4,1,3,7.396429879,4,6,0,4,74,7.771676564,90/90/1 Rule
21,Other,2,3,4,8.508717667,1,8,1,4,89,6.096907589,Pomodoro
28,Male,2,5,3,4.791791918,2,9,1,5,94,1.817001047,90/90/1 Rule
34,Male,1,1,5,7.079098503,5,2,1,3,63,0.984019129,Pomodoro
55,Female,5,4,1,5.166685867,3,0,1,1,23,4.832460775,Pomodoro
41,Other,4,2,4,4.559176717,2,4,1,2,32,3.183599598,Pomodoro
22,Other,2,2,4,6.462974764,1,2,1,1,76,2.565934326,Pomodoro
51,Other,1,2,5,4.980019889,2,5,0,2,18,6.554082473,Pomodoro
23,Other,3,4,3,5.330691869,3,7,1,2,28,3.252449503,Pomodoro
39,Female,4,1,1,5.905327479,1,3,0,3,116,2.877507273,2 Minute Rule
28,Female,2,4,3,5.556330404,4,4,1,5,48,6.874906949,
33,Male,5,2,2,4.525547784,1,4,0,1,105,6.847155024,2 Minute Rule
50,Male,1,5,3,4.539497469,4,3,0,5,60,3.172749783,5 AM Club
26,Male,2,3,4,5.159496491,1,3,1,4,94,6.743740257,Pomodoro
23,Male,5,4,1,4.303355128,3,3,1,3,99,6.880838677,2 Minute Rule
33,Female,2,4,3,7.758742118,3,3,0,3,55,3.679479013,
46,Other,4,1,1,5.723960299,1,3,1,4,36,0.998548477,2 Minute Rule
20,Female,4,1,1,5.678475807,2,4,1,1,54,0.511884833,2 Minute Rule
37,Male,4,4,2,5.991989765,3,1,0,4,45,4.424693472,2 Minute Rule
53,Female,1,2,2,7.976777645,4,1,0,1,70,3.0805662,90/90/1 Rule
36,Other,4,1,4,9.223803289,4,8,0,2,29,7.978489206,Pomodoro
43,Other,5,1,5,8.554521595,5,1,1,3,120,6.293082497,Pomodoro
20,Female,2,2,1,8.365175381,4,5,1,1,112,6.209565923,90/90/1 Rule
36,Female,3,5,5,6.906347114,5,1,1,5,65,7.664320762,Pomodoro
37,Female,5,1,4,8.162833342,1,4,1,5,70,7.157932984,Pomodoro
49,Male,5,2,1,7.316574208,1,3,0,3,46,2.886406096,2 Minute Rule
24,Female,4,2,1,5.297503169,1,6,1,4,69,1.744904162,2 Minute Rule
58,Female,1,3,5,5.251530206,2,6,0,4,40,6.094191988,Pomodoro
50,Female,2,3,3,5.778352041,2,5,1,1,80,3.337054203,90/90/1 Rule
57,Other,1,5,2,9.464816026,5,9,1,4,13,4.048794887,Pomodoro
56,Other,2,2,3,7.284489042,4,8,0,3,40,5.227982985,Habit Stacking
35,Male,2,2,5,8.403432262,4,0,1,1,109,7.309045077,Pomodoro
57,Male,1,3,2,6.079352559,1,2,1,2,96,3.643158153,90/90/1 Rule
18,Other,5,1,3,6.446294624,3,8,0,4,42,6.374876677,2 Minute Rule
28,Other,2,1,2,4.753393472,2,0,1,4,37,2.512548435,Reward and Reinforcement
45,Other,1,4,1,5.027769747,2,4,0,1,46,5.734788432,90/90/1 Rule
42,Other,2,3,3,8.964139329,1,1,0,5,65,0.511845658,90/90/1 Rule
40,Female,3,4,2,7.50903179,2,3,0,4,50,7.036304101,
48,Other,5,3,2,6.025194795,1,0,0,3,90,0.72784685,2 Minute Rule
47,Female,4,5,2,8.817107254,5,2,1,4,93,5.845653161,90/90/1 Rule
59,Female,2,2,3,5.479119434,4,9,1,2,65,0.846936419,90/90/1 Rule
52,Male,3,5,4,9.856196192,3,6,1,4,22,2.496842745,Pomodoro
24,Other,4,3,3,6.068905646,4,9,0,5,74,4.229018027,90/90/1 Rule
33,Other,4,2,5,6.023865725,4,2,1,4,86,3.64954014,Pomodoro
43,Female,2,1,3,5.871471433,5,3,1,1,120,1.93877086,90/90/1 Rule
19,Other,1,1,2,4.732669096,2,1,1,4,84,3.003611838,90/90/1 Rule
18,Male,2,4,1,4.666822884,3,2,1,5,19,5.957797775,Pomodoro
29,Male,3,3,3,7.888630207,2,8,0,1,52,5.519428194,90/90/1 Rule
22,Male,4,3,3,9.250708267,4,2,0,3,76,1.038609378,90/90/1 Rule
54,Other,2,1,2,8.743123062,1,4,1,1,17,6.104868692,Pomodoro
49,Other,1,5,1,4.846645564,4,1,0,2,47,0.897844109,90/90/1 Rule
26,Other,2,2,1,7.273492731,2,3,1,1,64,4.571947918,90/90/1 Rule
58,Other,5,5,5,4.633549276,4,6,1,3,61,2.45047061,Pomodoro
52,Other,1,5,3,4.271767862,1,6,1,4,75,4.907675957,90/90/1 Rule
36,Male,3,1,1,7.938315156,5,2,0,1,21,2.45996297,Pomodoro
33,Female,4,1,1,7.210914002,2,4,1,1,54,7.887184772,2 Minute Rule
20,Male,2,1,4,4.492142111,4,0,0,1,36,2.822961378,Pomodoro
37,Other,1,4,4,4.209635478,2,9,0,1,26,2.314704768,Pomodoro
41,Male,5,5,1,9.93853848,5,9,1,3,59,2.588489682,
50,Other,1,3,5,4.180127993,4,9,0,5,119,7.223546429,Pomodoro
41,Other,5,2,1,6.667169518,4,0,0,5,61,5.271641215,90/90/1 Rule
28,Male,3,4,2,7.027714148,2,4,1,1,17,5.980130731,Pomodoro
25,Other,4,3,3,4.703680887,2,9,0,3,51,7.385078826,2 Minute Rule
53,Female,3,5,5,5.014370671,1,8,0,3,91,7.339043636,Pomodoro
55,Other,2,1,2,6.110830038,5,0,1,1,66,6.042093849,90/90/1 Rule
57,Female,1,5,5,8.570055257,1,0,1,2,58,1.983683216,Pomodoro
37,Female,5,2,2,7.042494544,4,3,0,1,33,6.825299905,90/90/1 Rule
52,Other,5,4,3,7.827411247,2,3,1,2,26,2.028320256,Pomodoro
42,Male,1,4,3,9.911047331,4,1,1,1,69,6.071741106,90/90/1 Rule
52,Female,1,2,4,8.608032612,4,8,0,2,33,5.642022999,Pomodoro
42,Male,2,3,2,6.606168989,3,8,0,2,52,6.191666376,90/90/1 Rule
46,Female,3,3,4,6.678651531,3,1,1,1,9,4.495142605,Pomodoro
35,Other,5,4,2,7.712632462,4,8,0,2,39,5.290446367,90/90/1 Rule
63,Other,2,4,4,7.992191251,2,5,1,4,78,7.649900603,Pomodoro
35,Female,3,1,3,7.004265555,4,7,1,5,87,1.258164456,90/90/1 Rule
19,Other,2,3,5,7.869167337,3,9,0,3,105,2.816354561,Pomodoro
52,Female,5,2,4,4.141194966,2,3,0,2,75,5.085177598,Pomodoro
33,Other,1,3,2,6.577737183,2,8,1,4,50,7.730405976,90/90/1 Rule
58,Male,1,1,2,5.673628456,5,1,1,3,39,1.216808357,Habit Stacking
53,Other,3,4,3,4.775046671,2,8,1,2,49,0.669119161,90/90/1 Rule
50,Male,4,4,2,4.597279077,4,0,1,3,17,0.918121989,Pomodoro
21,Other,3,1,1,7.619152994,2,6,0,1,14,0.893042648,Pomodoro
50,Male,4,2,5,7.141603283,4,2,1,4,70,7.308618933,Pomodoro
31,Other,2,4,4,5.521504702,4,2,0,4,74,5.90943431,Pomodoro
38,Male,2,5,5,6.825700353,3,1,0,5,76,5.578297746,Pomodoro
37,Female,5,4,3,6.953393891,5,9,1,2,104,4.419296152,90/90/1 Rule
25,Female,4,5,4,5.170053883,3,5,0,5,29,6.364644627,Pomodoro
24,Male,5,1,4,7.912558371,3,9,0,1,48,1.667359946,Pomodoro
20,Other,1,1,1,8.685516138,4,1,1,4,64,3.439558923,90/90/1 Rule
34,Male,4,4,3,8.748781245,3,9,0,1,51,4.175031881,2 Minute Rule
50,Other,3,3,2,7.614818984,5,3,0,1,44,1.328071233,90/90/1 Rule
29,Female,1,5,1,7.069831495,3,9,1,2,11,3.64635282,Pomodoro
39,Other,1,2,1,4.366042858,5,8,1,1,50,2.873763344,90/90/1 Rule
39,Female,3,4,5,5.726987793,3,8,1,4,27,0.766866093,Pomodoro
63,Other,1,2,5,4.559628681,5,5,1,5,87,1.52551552,Pomodoro
47,Other,4,4,5,9.782938965,3,3,1,4,50,6.230276174,Pomodoro
55,Other,5,3,1,4.810480877,3,6,1,2,90,0.635284321,2 Minute Rule
55,Male,1,3,2,4.910652459,2,0,1,4,17,7.506899743,Pomodoro
62,Male,4,3,4,9.33745971,5,3,0,3,25,1.148184743,Pomodoro
25,Female,2,3,5,9.663569701,5,4,0,5,5,6.494285707,Pomodoro
44,Female,4,1,2,8.594974235,5,7,1,3,23,7.239624057,Pomodoro
44,Male,5,1,3,4.032429542,1,1,0,3,64,7.558516886,2 Minute Rule
51,Female,4,5,5,4.008077626,3,4,0,2,37,7.006077676,Pomodoro
38,Male,3,2,4,6.268604619,5,5,1,1,8,2.656625296,Pomodoro
47,Other,5,4,3,4.86037222,1,4,0,3,110,2.998153485,2 Minute Rule
50,Female,2,4,3,4.110316853,2,8,1,4,7,3.69909274,Pomodoro
45,Female,3,1,4,6.784400136,5,9,0,1,95,1.544725171,Pomodoro
64,Male,4,4,5,9.658658864,5,0,1,4,56,0.667043413,Pomodoro
50,Female,5,1,1,5.942917449,1,2,0,4,109,7.018412107,2 Minute Rule
22,Female,2,5,4,7.966844071,3,1,0,1,103,4.655965372,Pomodoro
36,Other,3,2,4,7.913412119,2,2,0,1,32,5.065422066,Pomodoro
21,Female,2,5,4,5.506480622,5,9,1,4,74,7.452413561,Pomodoro
52,Other,4,3,3,7.902551493,3,8,0,2,74,5.488401336,2 Minute Rule
34,Male,2,3,2,5.274003846,2,8,0,5,59,5.681401283,Habit Stacking
61,Female,1,3,1,4.732044481,4,9,1,5,61,6.402264863,90/90/1 Rule
45,Other,3,5,5,8.208299713,4,1,1,2,112,1.372613374,Pomodoro
47,Male,2,4,5,4.680644903,2,2,0,1,91,3.201216149,Pomodoro
